category,AVERAGE of avg_speed_split_palmas,MIN of avg_speed_split_palmas,MAX of avg_speed_split_palmas,AVERAGE of avg_speed_split_km33,MIN of avg_speed_split_km33,MAX of avg_speed_split_km33,AVERAGE of avg_speed_split_raya,MIN of avg_speed_split_raya,MAX of avg_speed_split_raya,AVERAGE of avg_speed_split_km119,MIN of avg_speed_split_km119,MAX of avg_speed_split_km119,AVERAGE of avg_speed_split_final,MIN of avg_speed_split_final,MAX of avg_speed_split_final
Categoría A (18-30 años) Femenino,12.28786111,9.525,16.845,17.42462963,13.867,23.746,10.71875926,5.484,14.136,20.49014815,16.305,27.33,22.33807407,18.344,29.341
Categoría A (18-30 años) Masculino,14.23634062,6.789,21.875,20.21098361,9.391,29.94,11.73706011,5.651,23.762,23.58970492,14.991,33.505,25.42234608,17.345,35.487
Categoría B (31-40 años) Femenino,12.08711111,8.804,17.145,17.03684541,12.664,24.439,10.65071014,7.915,15.338,20.00131401,16.188,28.946,21.89869565,18.195,31.231
Categoría B (31-40 años) Masculino,13.47713754,6.153,21.909,19.15523688,9.142,29.97,11.24998675,6.697,23.786,22.55370555,14.81,33.456,24.42044575,17.357,35.453
Categoría C (41-50 años) Femenino,11.84046809,9.292,17.135,16.68526596,13.123,24.146,10.41887234,7.934,14.808,19.5627234,15.508,28.38,21.52998936,18.261,30.581
Categoría C (41-50 años) Masculino,12.85132466,8.9,21.875,18.15564994,11.675,29.955,10.89174721,5.807,23.786,21.43742193,15.055,33.364,23.30720818,17.21,35.46
Categoría D (51-60 años) Masculino,12.33932079,8.764,19.168,17.4249086,11.861,26.975,10.52080824,7.052,16.461,20.59857885,15.582,31.495,22.46810753,17.813,33.655
Categoría D (51+ años) Femenino,12.16392857,10.596,13.918,17.28342857,15.122,19.649,10.71042857,9.36,12.373,20.4815,17.275,23.27,22.36335714,19.318,25.092
Categoría E (61+ años) Masculino,12.13516981,8.804,18.179,17.19186792,10.487,25.692,10.50217925,7.745,23.786,20.37011321,15.164,29.785,22.21033019,17.784,31.781
Elite Femenino,16.02975,14.344,17.255,23.24616667,21.332,25.154,13.17025,11.596,15.349,27.50866667,23.985,30.559,29.60233333,26.065,32.832
Elite Masculino,18.59531111,12.966,21.658,26.06955556,13.436,29.804,15.08162222,10.164,20.337,29.91226667,19.511,34.624,31.94382222,21.513,36.71
