category,segment,speed_avg,speed_min,speed_max
Categoría A (18-30 años) Femenino,Palmas,12.28786111,9.525,16.845
Categoría A (18-30 años) Femenino,Km33,17.42462963,13.867,23.746
Categoría A (18-30 años) Femenino,Raya,10.71875926,5.484,14.136
Categoría A (18-30 años) Femenino,Km119,20.49014815,16.305,27.33
Categoría A (18-30 años) Femenino,Final,22.33807407,18.344,29.341
Categoría A (18-30 años) Masculino,Palmas,14.23634062,6.789,21.875
Categoría A (18-30 años) Masculino,Km33,20.21098361,9.391,29.94
Categoría A (18-30 años) Masculino,Raya,11.73706011,5.651,23.762
Categoría A (18-30 años) Masculino,Km119,23.58970492,14.991,33.505
Categoría A (18-30 años) Masculino,Final,25.42234608,17.345,35.487
Categoría B (31-40 años) Femenino,Palmas,12.08711111,8.804,17.145
Categoría B (31-40 años) Femenino,Km33,17.03684541,12.664,24.439
Categoría B (31-40 años) Femenino,Raya,10.65071014,7.915,15.338
Categoría B (31-40 años) Femenino,Km119,20.00131401,16.188,28.946
Categoría B (31-40 años) Femenino,Final,21.89869565,18.195,31.231
Categoría B (31-40 años) Masculino,Palmas,13.47713754,6.153,21.909
Categoría B (31-40 años) Masculino,Km33,19.15523688,9.142,29.97
Categoría B (31-40 años) Masculino,Raya,11.24998675,6.697,23.786
Categoría B (31-40 años) Masculino,Km119,22.55370555,14.81,33.456
Categoría B (31-40 años) Masculino,Final,24.42044575,17.357,35.453
Categoría C (41-50 años) Femenino,Palmas,11.84046809,9.292,17.135
Categoría C (41-50 años) Femenino,Km33,16.68526596,13.123,24.146
Categoría C (41-50 años) Femenino,Raya,10.41887234,7.934,14.808
Categoría C (41-50 años) Femenino,Km119,19.5627234,15.508,28.38
Categoría C (41-50 años) Femenino,Final,21.52998936,18.261,30.581
Categoría C (41-50 años) Masculino,Palmas,12.85132466,8.9,21.875
Categoría C (41-50 años) Masculino,Km33,18.15564994,11.675,29.955
Categoría C (41-50 años) Masculino,Raya,10.89174721,5.807,23.786
Categoría C (41-50 años) Masculino,Km119,21.43742193,15.055,33.364
Categoría C (41-50 años) Masculino,Final,23.30720818,17.21,35.46
Categoría D (51-60 años) Masculino,Palmas,12.33932079,8.764,19.168
Categoría D (51-60 años) Masculino,Km33,17.4249086,11.861,26.975
Categoría D (51-60 años) Masculino,Raya,10.52080824,7.052,16.461
Categoría D (51-60 años) Masculino,Km119,20.59857885,15.582,31.495
Categoría D (51-60 años) Masculino,Final,22.46810753,17.813,33.655
Categoría D (51+ años) Femenino,Palmas,12.16392857,10.596,13.918
Categoría D (51+ años) Femenino,Km33,17.28342857,15.122,19.649
Categoría D (51+ años) Femenino,Raya,10.71042857,9.36,12.373
Categoría D (51+ años) Femenino,Km119,20.4815,17.275,23.27
Categoría D (51+ años) Femenino,Final,22.36335714,19.318,25.092
Categoría E (61+ años) Masculino,Palmas,12.13516981,8.804,18.179
Categoría E (61+ años) Masculino,Km33,17.19186792,10.487,25.692
Categoría E (61+ años) Masculino,Raya,10.50217925,7.745,23.786
Categoría E (61+ años) Masculino,Km119,20.37011321,15.164,29.785
Categoría E (61+ años) Masculino,Final,22.21033019,17.784,31.781
Elite Femenino,Palmas,16.02975,14.344,17.255
Elite Femenino,Km33,23.24616667,21.332,25.154
Elite Femenino,Raya,13.17025,11.596,15.349
Elite Femenino,Km119,27.50866667,23.985,30.559
Elite Femenino,Final,29.60233333,26.065,32.832
Elite Masculino,Palmas,18.59531111,12.966,21.658
Elite Masculino,Km33,26.06955556,13.436,29.804
Elite Masculino,Raya,15.08162222,10.164,20.337
Elite Masculino,Km119,29.91226667,19.511,34.624
Elite Masculino,Final,31.94382222,21.513,36.71
Categoría A (18-30 años) Femenino,Init,0.0,0.0,0.0
Categoría A (18-30 años) Masculino,Init,0.0,0.0,0.0
Categoría B (31-40 años) Femenino,Init,0.0,0.0,0.0
Categoría B (31-40 años) Masculino,Init,0.0,0.0,0.0
Categoría C (41-50 años) Femenino,Init,0.0,0.0,0.0
Categoría C (41-50 años) Masculino,Init,0.0,0.0,0.0
Categoría D (51-60 años) Masculino,Init,0.0,0.0,0.0
Categoría D (51+ años) Femenino,Init,0.0,0.0,0.0
Categoría E (61+ años) Masculino,Init,0.0,0.0,0.0
Elite Femenino,Init,0.0,0.0,0.0
Elite Masculino,Init,0.0,0.0,0.0
